label,text
4,Raunchy hilarious - up to Korean American stand - ' s ' m the I Want.
2,"Uses his characters - - if ' s not - - art things, , motifs, blanks."
2,Offers.
2,Is ' t accomplished.
3,will be far more interesting to the Soderbergh faithful it the moviegoer in by Julia. ..
4,Interesting scenes Chicago -. ..
5,.. ..
1,"Life, morphed into a movie - - one,."
1,"Some of Seagal ' action pictures, this one is so formulaic that on - pilot."
5,"This exercise in, and Twohy the sub, inside out, an eye a of mystery."
5,"The kind of comes along occasionally, , gutsy and perfectly executed takes."
3,",."
4,And.
3,There ' no fact is Nerds - - again.
3,' have enough of plucky British eccentrics hearts of.
2,.
4,Better.
4,"This time, hype is, slightly less than the, it ' still a rollicking good time for the most part."
2,High -.
4,Chateau the - Yanks.
3,Chomp!
4,One.
2,In other recent. .. any John for that matter.
3,", acted, - bad, Man is ludicrous it become cult."
3,' s difficult for admirer of work be Invincible and its drawbacks.
2,"Adults will, , and shallowly."
2,Try to in in the house gored.
5,"An, intoxicating documentary rise - hop the art of scratching (or turntablism) in."
5,'.
1,.. ..
5,And.
3,"Are many things solid acting can a movie, crafting something mediocre is one of them."
2,".. . the efforts, , some dignity dumb story naught."
4,"Are,."
3,"Trying to and, off occasionally satirical and never."
4,"Charm of the, and the feels like the logical, continuation of the of a pair spy kids."
4,"The of Being, thick with wit it Bartlett ' s"
4,It certainly n ' win awards in department but it out no big time.
3,Here '.
3,"Helps into the plot, he overwhelmed predictability."
3,"Me uneasy, even queasy, (Solondz ') is border of."
2,"You go the expecting a scary, action -, you looking for sign."
5,"One the best the with its exquisite, inventive screenplay, mesmerizing music, many scenes of, ,, and yearning."
3,Gets.
5,"When cowering begging the feet a scruffy, Madonna gives best performance Abel Ferrara had her beaten a pulp."
4,"It sees, including that the son and his, and the wife, and between the two, with incredible subtlety and."
4,And benefits but reminds of our own responsibility to question what told as.
5,", honest provide pleasures of a, - above - average off - Broadway play."
3,Pure will down in.
5,"Commander - in - chief of film, Bigelow a breadth vision and an detail that propels the echelons of directing world."
4,"And, '."
2,"Ugly,."
4,"The ' cut, the film is not only a love song to the it also is more fully an of the kind of lush, all - enveloping."
4,".. . the of her passionate, affair Musset as ' s masculine, with its love life beauty,."
3,"Going this little like chewing whale - it ' s acquired that takes to, but it ' s worth it, even if it take 3 hours to get through."
5,"', ,,."
3,"The will enjoy this sometimes adaptation of. . ' s, but newcomers find a yawn or during the first hour."
2,"I n ' t laugh efforts of Cube, and buddy Mike, to like Laurel and Hardy ' the."
1,The Tuxedo miscalculates by forcing play second to the dull that the to come.
1,The whole boils to a hypocritical that feels it ' s to the women ' s movement back years. '
4,", ' '."
1,Latest Adam Sandler assault.
2,"The affair, not, .. . () comes like a commercial."
2,Impenetrable -.
4,"Proof of on the cinematic front, no further than this 20th anniversary edition of that, retrospectively, his most yet."
2,"The dog August upon, think of dog movie the cinematic high humidity."
4,"The usual movie -, pleasantly and predictably in low - director writer Stoppard."
4,"` ` The ' ' has flaws, but it also heart and very young"
5,Effortlessly.
4,"A small of a defies and is as - as it, scary."
4,Is compelling piece that demonstrates how children can be trained live on ' anguish.
4,"Nicole Holofcenter, the insightful writer / responsible for illuminating comedy ' wrap up the ideas together beautifully."
2,"Is typical shoe -, children."
2,Supposedly authentic account that ' s such treatment.
4,' movie are.
2,"If you ' s a public park, ' grab and then probably call the police."
1,Has '.
4,Cutesy.
5,"Beautiful,."
4,"You ' re for smart, nuanced at de Sade and at Picpus, Sade your film."
4,"At time commercialism has the life out of whatever idealism moviemaking had, Godfrey ' like a beacon."
4,Reno ' s.
5,"A to Binoche ',."
3,and look doing - being.
5,"A and surprisingly affecting portrait of a screwed - up man who dared to mess with some people, the eyes of the chooses his ultimately losing."
4,"The of, infusing the, complicated emotions."
4,Living to.
2,The far have been the mail.
4,"Saves it. .. makes one the better video - game - based flicks, is the film acknowledges upfront that the plot makes no sense, such that the lack linearity point emotional and departure for protagonist Alice."
3,"Every potential twist is advance, every respectably; the movie to have been under the of."
4,"A quieter middle section, involving ' s of, is even."
2,A in schoolgirl.
2,"They ' re unnamed, substitutable that serve whatever the heroes try."
5,' -.
4,The subject grief loss such - embracing spirit the theme does ' t an audience down.
2,"Nicolas Cage is n ' t the first actor to lead a of friends, and movie ' t create a in what erratic career."
2,Purports be satire but up of that should be of something deeper and more engaging.
4,Refreshingly.
3,"Drama great, yet some members the will leave they have seen a."
4,A romance with of and politics.
2,End like porridge with only.
1,Very simple and the out plot arbitrary.
4,Adaptation in a way of ' s themes without a true adaptation of book.
2,Elements but lack pyschological knocks.
2,"( W) long on monkeys and worthy environmentalism, Jane ' Chimpanzees is on thrills medium."
2,"This mild - farce, by its writers, John C. Walsh, is way bespeaks expiration passed a long time ago."
2,"Blue, in conflicts to the compelling."
4,", probably n ' t have you swinging from the trees hooting it ' praises, ' worth look."
3,Depends on your.
1,` ` ' ' loses its overall sense of becomes episode rather documentary actually into.
2,Coal is ' t as to come used to be and this substitute for naughty children ' s.
1,"Film,."
2,Once -.
2,"Although much, ' really Major."
5,Dream cast of.
1,"Shame Harvard too busy getting own way be anything but, , and."
1,"Instead a balanced film explains is X Games, we a ' s superficial and unrealized."
3,But -
5,.. .. ..
2,"The original film virtually scene yet manages it of humor, verve and."
2,And.
4,.. ..
3,Arnold!
2,"Saccharine movies, is likely to cause cardiac taken."
4,"Ingenious construction (adapted by David Michael Cunningham ' s novel) constantly flows forwards back, weaving themes among three strands allow to events if prism"
2,To that these brats ever than.
3,Off - putting comedy is sure indulgence of Amélie.
1,Catch they ' stuck a that from firing on all.
4,Changer may not be the most memorable but its self - message about our fragile existence and the absence at least invade an abundance of
5,Deserves.
3,"I believe Silberling best, he just n ' the restraint fully realize."
1,"Ought a license, that Burns have."
2,"Showgirls and,."
3,.. ..
2,"As, ' all."
3,the.
4,"To Land may another shameless by Disney to rake in from baby boomer families, but ' not -."
3,"Choquart ' s camera stops moving, portraying both turmoil the time and giving a perpetual, , for film that takes nearly three hours to unspool, is both funny and irritating."
4,"Scotland wonderful, the fans fanatics, the of golf."
4,Four star from Kline works two.
4,"The, and performances the young."
2,Better in the it in the. .. up seeming clever.
1,"` ` ' ' is the operative word for ` `, ' ' do ' in a good."
4,"Are couple of that elevate ` ` ' ' most its, most notably presence of Duvall."
5,Is of those war movies focuses human rather and action. .. it ' s the stronger because of it.
2,"To Smoochy moldy -, not - nearly - - - - it - thinks - -."
4,!
2,"Shekhar Kapur and screenwriters Schiffer and Hossein Amini have modernize things, but the barriers finally to great."
4,"Dreadful in Irish is, ,."
2,"Here seems funny as it did in Analyze, as De Niro ' s right -."
3,"While will the whole up, adults will be."
3,Follows the basic every film:.
3,` `? ' '
3,"` ` Emperor ' s New ' ' with a. .. , ' s the."
2,"Attal ' s hang - ups surrounding infidelity are so old - fashioned and, dare, outdated, ' wonder that he could n ' t have brought proceedings simply accident."
2,"' coherent, well shot, acted, but it wears down like his doctorate."
1,51 so trite that Yu ' - energy action ca ' t break stupor.
3,"The messy emotions three - hour instantly, the film paradoxically and foreign at the same time."
4,"Liked, ,."
2,Clockstoppers if do.
1,"Only are film ' s Sopranos incredibly dated unfunny, also desperate the makers this ` we ' re - - - for - the - cash ' sequel were."
4,Of.
3,"Maid in might so appealing on third or fourth viewing the. .. But as high concept vehicle for bright stars of the moment who can to fans ' lofty, the movie inspection."
4,' s arctic light bright on frozen tundra soap opera that extraordinary life existence of.
5,"And, .. .."
5,I encourage young and old alike to go see this unique twist whale ' s - - wo n '!
5,Lane short.
2,"Impostor ca n ' t think a to do characters except have through dark, various anonymous attackers, and evade elaborate surveillance."
5,"Film a job, steadily to the of."
3,", personality"
2,() he ideas #
4,Best.
3,() rare movie us re - the basis lives what is ours in a world of activity.
5,Sends believer just.
3,"With three excellent singers, a youthful good - looking diva and tenor and richly, it ' enough you wish Jacquot had left well enough alone and filmed the opera without all these distortions."
5,"Gory the scenes of torture - may be, they pitted against shimmering cinematography the setting the ethereal beauty of an landscape."
2,Only.
5,"Spectacular every, even you ' know an Orc from - Hai."
2,Disappointment for ultimate.
4,Computer -.
3,Are moments of real to found Sara Sugarman ' whimsical comedy - Mary but not sustain the film.
2,"But problem, for all its, ' t one."
4,"We, Hollywood makes a valiant attempt tell the Vietnam War the pathology in."
2,"Content - in mediocre end the pool, ' a sad, sick sight."
3,"You, though, Kapur intended that."
3,"The movie as much as it is ', matter if it ' viewed a self - reflection or."
4,Edges run through narrative.
1,To say that this is downright doltish is as telling country skunk that has severe body.
5,Heroic is viewers '.
5,"Nicole Holofcener ' s Lovely and, from own, to the head of class of ' that manage to avoid the ghetto sentimental chick - flicks by treating female follies with satirical style."
1,"Evelyn may based a true historically story, but the made effort disguise as an unimaginative screenwriter ' invention."
4,"Decades ' at Disney ' s rendering water, snow, shadows in - animated world."
5,"Is,."
3,The local real.
4,Your to ` ' n ' miss.
1,Do ' get enough sit.
3,"When in doubt, film ratchets soundtrack, throws in fish - - - water gag and cliched rip."
4,"However, ' pleasant its, pro -."
4,Romantic that by its - universe.
3,"( screenwriter) Charlie ' s, truth equally, and for."
2,Movie eventually strain of its reassure.
3,Will go on there are moviegoers see young guys strange guy.
5,"The best ' s. .. visually, ,."
5,"One makes its political, is beautiful of ' s craftsmen."
2,"Should, it be poignant, it affected boring."
1,"You really want understand what story all, you ' far better served source."
5,"Of -, -."
3,"Nair and Laura Cahill dare a around flawed but rather unexceptional women, emerging with a character ' short on plot but in the tiny revelations of real life."
2,"The filmmakers are playing to the Big Boys in York and. . To that end, they mock the kind of folks they do ' t understand, ones figure power - n ' care to, either."
4,"A engaging on of ` home, ' delivered in grand passion the of."
3,"-, , -,."
5,.. ..
2,Key problem Christian storylines that never question of how things will.
5,"An, reflective and beautifully on both profoundly devastating events of one ago the slow, painful has followed their wake."
2,"This one off a natured warning, endeavors will adhere more to the of laughter"
5,"This. .. once playful and haunting, an - depth an iconoclastic artist was fundamentally unknowable to his closest."
2,Did '.
1,"A chilly, remote, distant piece. .. so should be: `, no one hear. '"
1,Anyone in this should is me.
1,Nothing more amiable but unfocused bagatelle a - of acting -.
2,"Those author ' s, the hand, may fast asleep."
5,Past.
1,"Ran, and just the."
5,You can sip your wines watch your Merchant Ivory productions; ' ll settle for glass of iced tea Jerry Bruckheimer any day of the.
4,' ' a.
2,Accurate.
5,"With an unflappable urbanity, remains a perfect, and displays comic skill."
5,"Nine is only than frighteningly capable and genre piece, snapshot a dangerous political situation on the verge of to a."
2,Instantly snow - - extravaganza likely be upstaged by an avalanche appealing - season.
3,Blows.
5,A - of - Hollywood n ' make.
2,Nothing than - ripper - - it should the artsy pretensions revelled the entertaining shallows.
2,A pieces of buzz; little.
4,Film viewing.
1,Embarrassment.
4,"It ' s endearing to D. to as ` Jackie ' - - and does excellent company, not least as a - conscious."
3,A really fifteen - its an feature - length.
2,Timid closure an ugly of the.
2,Movie impressed own to up much entertainment.
5,"That rare that works on any levels - - a magic whimsy for children, romance for teenagers and a compelling about death, both pro and con, for adults."
5,"Method, here."
1,"Is not worst movie ever, it ' certainly not - the big loser is the."
4,"A and cut diamond, magnificent in its sparkling beauty it ' one rock."
4,And.
2,The film did ' t convince that Calvin. ' s Barbershop sort of beacon in the middle Chicago ' South.
1,Chirpy Spears up.
2,"Characters, , totally reality."
2,"The Costner on his pretty - boy, the, regrettably, going to films like tossed at."
1,Of who an most doze off during this one.
5,One of best.
3,"LaBute n ' t avoid fatal mistake in era: ' s changed the male a lower - class to an American, a that upsets the ' s exquisite balance and shreds the fabric of the film."
3,Wo ' t any - and - potatoes.
4,"It, anything."
2,"While some will object to the idea of picture such a -, patriotic tone, ultimately achieves its main strategic objective: dramatizing human the conflict that came define a generation."
4,Worthy a vibrant ` -. '
4,"Abuse, infidelity are n ' t comedy fare, ' film allows us to through angst."
2,",,?"
4,"Both admirable of terrible events, fitting to dead of that, of thereafter."
2,On - -.
5,"' s crafty, and - - sort of - year Ferris Bueller."
2,"` us, Capra graves. '"
4,Can detract from the that: will friends thick and.
1,"It ' to that more, interesting and sloppily made film could possibly come the road."
2,Entertainment in love with its mythology that longer recognizes the needs characters and compelling.
4,"If you ' an, can much Jonah, and gratefully, laugh - out - loud lunacy a pronounced Monty Pythonesque flavor."
1,Like.
2,Than.
4,"Is less about superficial crisis about the need in touch with own, at 18 or 80."
5,".. ., -."
5,"Everyone ' insecure Lovely and, amusing film mothers, daughters and."
4,Good.
3,"The are usually favor of and pathos, where Whitaker ' misfit concerned."
5,"Even when there are lulls, emotions seem authentic, and picture end. .. you do n ' t notice 129 - running time."
5,An intriguing window into.
1,"Dull, relentlessly, laughably predictable wail a depressed - - old ' suicidal poetry."
2,The film lukewarm.
5,".. . even if ' ve never of, ' to."
4,.. . puts salt into wounds of the and - make.
4,"Neither quite comedy nor a romance, more divertissement that interest and - - they together - - the film has a lot charm."
2,Great.
2,Imagine Woods character Videodrome a home movie Audrey Rose and showing it to kid from Sixth and ' ve The Ring.
4,Film the sweetness Woody.
3,Recording is the only part the film that is - - how appreciative are of this on fandom.
2,Legged.
4,Charming.
5,Adaptation ' in audience in the travails.
5,"Big, , swashbuckler that diversions,."
5,Beautifully.
4,Film the ability precisely when you think it ' s danger going.
2,"` ` Alone ' ' film staged like ` ` Rosemary ' Baby, ' ' is as well - conceived either of."
3,So: It '.
4,French -.
1,Jay Russell down his - with.
2,Michele is a such flibbertigibbet it ' s her all.
5,"Performances, ,."
4,",!"
2,"Mainstream will find little interest in this, is often."
3,This underdramatized but is like a brought to humdrum life by some puppet.
2,Densest '.
2,"Much,."
2,"Disappointment who alternate versions of Bard, ones that involve fryers."
4,"A deft, teen - - triumph."
2,But.
1,' - ass world killer - thrillers around.
5,Is.
2,"So we got Ten Little Indians meets Friday 13th by way of Clean and, filmed on set of Carpenter ' s Thing and loaded actors ' most likely to find the inevitable incarnation of The Love."
4,"Shanghai, much, unknown slice affectingly life."
1,"Harvard n ' care about, wit humor."
4,"Children, , deserve to hear full story of Jonah ' - - in all its agonizing, - 22 glory - - they spend years to comprehend it."
3,Although it n ' together - - violence do n ' combine - - ` ` Cherish ' ' certainly ' t dull.
4,".. . Despite finish line, the movie good, one that will have at edge of for long stretches. '"
3,Scene of; the never a threat.
3,How much you are moved the (François and ') relationship lot on interesting and likable you find.
5,Have '!
2,Doing ' -.
1,Cumulative effect of watching 65 - minute trifle rather being while some weird relative trots the he took of family vacation to.
3,"Ana ' journey is not a stereotypical one - discovery, as she ' s already her to be proud of physique. .."
3,Chronicle Yorkers hook.
2,"Punch that miss, , the - -."
2,", ' ' does."
2,"For film that ' s advertised a comedy, Home is ' as as ' hoped."
5,"Is by Volletta ' s maternal, her, that, his crackles."
2,Should.
1,"This, calculated in its stars."
1,"Is depressing, ruthlessly pained and, movie open."
4,"With all, Enigma of a - made entertainment."
3,Curling be with.
3,But about inhuman monster; it ' s very.
3,Directorial debut - flash.
2,The ' find fascinating; it.
1,N '.
4,"As telling may - - times, All Loved more than flirts - - the tale commands attention."
1,` ` ' '.
2,"A hit - and - miss, amusing as outrageous or funny as may have as one might have."
2,Leaves us about its ideas and more about of the provocative conclusion.
2,Movie amateurishly make the of own.
3,"The animation merely serves up a predictable, story that swipes heavily and The Lion, lacks emotional resonance of."
1,"This unfunny at, twice."
5,"The film since Jack went back to Newcastle, the first Gangster No. 1 drips with style and, times, blood."
4,"() all the stage, dancing, running, , mopping his face generally displaying talent fame in the first place."
3,"You, did."
5,"Quiet,."
